"","firm_name","parent_company_country_of_domicile","flag_country","flag_country_geo_cepii","operator_country_geo_cepii"
"1","Moore-McCormack Lines Inc",NA,NA,NA,NA
"2","OCL",NA,NA,NA,NA
"3","Franco-Belgian Services",NA,NA,NA,NA
"4","Y-S Line",NA,NA,NA,NA
"5","Japan Line",NA,NA,NA,NA
"6","KSC",NA,NA,NA,NA
"7","Finland Steamship",NA,NA,NA,NA
"8","Atlanttrafik/Barber Blue Sea",NA,NA,NA,NA
"9","United States Lines",NA,NA,NA,NA
"10","P&O Containers",NA,NA,NA,NA
"11","Maersk",NA,"Am",NA,NA
"12","NLS",NA,NA,NA,NA
"13","Hanjin",NA,"Ko",NA,NA
"14","Finnlines",NA,NA,NA,NA
"15","Wilhelmsen Lines A/S",NA,NA,NA,NA
"16","IMC SHIPPING CO PTE LTD (IMCSC","HONG KONG, CHINA",NA,NA,NA
"17","BUSAN SHIPPING CO LTD","KOREA, SOUTH",NA,NA,NA
"18","CHINA MERCHANTS STEAM NAVIGATI","CHINA, REPUBLIC OF (TAIWAN)",NA,NA,NA
"19","SVITZER AS","DENMARK",NA,NA,NA
"20","APL LTD","UNITED STATES OF AMERICA",NA,NA,NA
"21","PRIMA SHIPMANAGEMENT SDN BHD","MALAYSIA",NA,NA,NA
"22","FARRELL LINES INC","UNITED STATES OF AMERICA",NA,NA,NA
"23","OOST ATLANTIC LIJN BV","NETHERLANDS",NA,NA,NA
"24","CYPRUS MARITIME CO LTD","GREECE",NA,NA,NA
"25","MISC BERHAD","MALAYSIA",NA,NA,NA
"26","DANSK SUPERMARKED INVEST A/S","DENMARK",NA,NA,NA
"27","THE PENINSULAR AND ORIENTAL ST","UNITED KINGDOM",NA,NA,NA
"28","EUROBULK LTD","GREECE",NA,NA,NA
"29","BARCLAY SHIPPING LTD","GREECE",NA,NA,NA
"30","DELMAS","FRANCE",NA,NA,NA
"31","ROYAL P&O NEDLLOYD NV (KONINKL","NETHERLANDS",NA,NA,NA
"32","UNITED THAI SHIPPING CORP LTD","THAILAND",NA,NA,NA
"33","HORIZON LINES INC","UNITED STATES OF AMERICA",NA,NA,NA
"34","EICKE SCHIFFAHRTS KG","GERMANY",NA,NA,NA
"35","CP SHIPS LTD","UNITED KINGDOM",NA,NA,NA
"36","EUROSEAS LTD","GREECE",NA,NA,NA
"37","China Merchants Group",NA,NA,NA,NA
"38","A P MOLLER","DENMARK",NA,NA,NA
"39","NEPTUNE ORIENT LINES LTD (NOL)","SINGAPORE",NA,NA,NA
"40","HALIM MAZMIN GROUP","MALAYSIA",NA,NA,NA
"41","ATLANTIC HORIZON GROUP","NETHERLANDS",NA,NA,NA
"42","CYPRUS SEA LINES SA","GREECE",NA,NA,NA
"43","Malaysia Shipping Corp Sdn Bhd",NA,NA,NA,NA
"44","CMA CGM HOLDING","FRANCE",NA,NA,NA
"45","MATSON NAVIGATION CO INC","UNITED STATES OF AMERICA",NA,NA,NA
"46","HAPAG-LLOYD AG","GERMANY",NA,NA,NA
"47","Grupo TMM",NA,"Br",NA,NA
"48","Lykes",NA,"Br",NA,NA
"49","Senator",NA,"Ms",NA,NA
"50","Cheng Lie",NA,"SV",NA,NA
"51","CMA-CGM/MSC",NA,"Ms",NA,NA
"52","Lloyd Triestino",NA,"Pa",NA,NA
"53","Norasia",NA,"Li",NA,NA
"54","PONL",NA,"Cp",NA,NA
"55","S. S. Ferry/Orient Ferry",NA,"Pa",NA,NA
"56","MacAndrews",NA,"Li",NA,NA
"57","Lufeng",NA,"SV",NA,NA
"58","Safmarine",NA,"Gr",NA,NA
"59","IRISL",NA,"Ir",NA,NA
"60","NEW ONTO SHIPPING",NA,"Sg",NA,NA
"61","TSK",NA,"Ja",NA,NA
"62","Chongqing Marine",NA,"SV",NA,NA
"63","China Navigation",NA,"HK",NA,NA
"64","SEACON/T.S. Lines",NA,"Sg",NA,NA
"65","Greater Bali-Hai",NA,"Pa",NA,NA
"66","CCNI",NA,"Li",NA,NA
"67","CSAV",NA,"Ge",NA,NA
"68","China Shipping",NA,"Cp",NA,NA
"69","Delmas",NA,"Li",NA,NA
"70","Shanghai Puhai Shipping",NA,"PRC",NA,NA
"71","UASC",NA,"UAE",NA,NA
"72","APL/PIL",NA,"Li",NA,NA
"73","KLINE",NA,"Pa",NA,NA
"74","MOL",NA,"Pa",NA,NA
"75","NYK",NA,"Ja",NA,NA
"76","ANL",NA,"Ba",NA,NA
"77","APL",NA,"Sg",NA,NA
"78","Hamburg Sud",NA,"Li",NA,NA
"79","Sealand Asia",NA,"Ms",NA,NA
"80","Hapag-Lloyd",NA,"Ge",NA,NA
"81","CMA-CGM",NA,"Li",NA,NA
"82","Evergreen",NA,"Pa",NA,NA
"83","Suzhou Shimonoseki Ferry",NA,"Pa",NA,NA
"84","Sinotrans",NA,"An",NA,NA
"85","Hafez Darya Arya Shipping Lines",NA,"Ge",NA,NA
"86","CCL",NA,"An",NA,NA
"87","TAICANG CONTAINER LINES",NA,"SV",NA,NA
"88","Swire",NA,"HK",NA,NA
"89","T.S. Lines",NA,"Vt",NA,NA
"90","COSCO",NA,"Pa",NA,NA
"91","Ocean Network Express",NA,"Ja",NA,NA
