,firm_name,parent_company_country_of_domicile,flag_country,flag_country_geo_cepii,operator_country_geo_cepii,,,
1,Moore-McCormack Lines Inc,NA,NA,United States of America,NA,,,
2,OCL,NA,NA,United Kingdom,NA,,,
3,Franco-Belgian Services,NA,NA,France,NA,,,
4,Y-S Line,NA,NA,Japan,NA,,,
5,Japan Line,NA,NA,Japan,NA,,,
6,KSC,NA,NA,Korea,NA,,,
7,Finland Steamship,NA,NA,Finland,NA,,,
8,Atlanttrafik/Barber Blue Sea,NA,NA,Sweden,NA,,,
9,United States Lines,NA,NA,United States of America,NA,,,
10,P&O Containers,NA,NA,United Kingdom,NA,,,
11,Maersk,NA,Am,Denmark,NA,,,
12,NLS,NA,NA,Japan,NA,,,
13,Hanjin,NA,Ko,Korea,NA,,,
14,Finnlines,NA,NA,Finland,NA,,,
15,Wilhelmsen Lines A/S,NA,NA,Sweden,NA,,,
16,IMC SHIPPING CO PTE LTD (IMCSC,"HONG KONG, CHINA",NA,Hong Kong,NA,,,
17,BUSAN SHIPPING CO LTD,"KOREA, SOUTH",NA,Korea,NA,,,
18,CHINA MERCHANTS STEAM NAVIGATI,"CHINA, REPUBLIC OF (TAIWAN)",NA,China,NA,,,
19,SVITZER AS,DENMARK,NA,Denmark,NA,,,
20,APL LTD,UNITED STATES OF AMERICA,NA,United States of America,NA,,,
21,PRIMA SHIPMANAGEMENT SDN BHD,MALAYSIA,NA,Malaysia,NA,,,
22,FARRELL LINES INC,UNITED STATES OF AMERICA,NA,United States of America,NA,,,
23,OOST ATLANTIC LIJN BV,NETHERLANDS,NA,Netherlands,NA,,,
24,CYPRUS MARITIME CO LTD,GREECE,NA,Greece,NA,,,
25,MISC BERHAD,MALAYSIA,NA,Malaysia,NA,,,
26,DANSK SUPERMARKED INVEST A/S,DENMARK,NA,Denmark,NA,,,
27,THE PENINSULAR AND ORIENTAL ST,UNITED KINGDOM,NA,United Kingdom,NA,,,
28,EUROBULK LTD,GREECE,NA,Greece,NA,,,
29,BARCLAY SHIPPING LTD,GREECE,NA,Greece,NA,,,
30,DELMAS,FRANCE,NA,France,NA,,,
31,ROYAL P&O NEDLLOYD NV (KONINKL,NETHERLANDS,NA,Netherlands,NA,,,
32,UNITED THAI SHIPPING CORP LTD,THAILAND,NA,Thailand,NA,,,
33,HORIZON LINES INC,UNITED STATES OF AMERICA,NA,United States of America,NA,,,
34,EICKE SCHIFFAHRTS KG,GERMANY,NA,Germany,NA,,,
35,CP SHIPS LTD,UNITED KINGDOM,NA,United Kingdom,NA,,,
36,EUROSEAS LTD,GREECE,NA,Greece,NA,,,
37,China Merchants Group,NA,NA,China,NA,,,
38,A P MOLLER,DENMARK,NA,Denmark,NA,,,
39,NEPTUNE ORIENT LINES LTD (NOL),SINGAPORE,NA,Singapore,NA,,,
40,HALIM MAZMIN GROUP,MALAYSIA,NA,Malaysia,NA,,,
41,ATLANTIC HORIZON GROUP,NETHERLANDS,NA,Netherlands,NA,,,
42,CYPRUS SEA LINES SA,GREECE,NA,Greece,NA,,,
43,Malaysia Shipping Corp Sdn Bhd,NA,NA,Malaysia,NA,,,
44,CMA CGM HOLDING,FRANCE,NA,France,NA,,,
45,MATSON NAVIGATION CO INC,UNITED STATES OF AMERICA,NA,United States of America,NA,,,
46,HAPAG-LLOYD AG,GERMANY,NA,Germany,NA,,,
47,Grupo TMM,NA,Br,Mexico,NA,,,
48,Lykes,NA,Br,United States of America,NA,,,
49,Senator,NA,Ms,Germany,NA,,,
50,Cheng Lie,NA,SV,Taiwan,NA,,,
51,CMA-CGM/MSC,NA,Ms,France,NA,,,
52,Lloyd Triestino,NA,Pa,Italy,NA,,,
53,Norasia,NA,Li,Malta,NA,,,
54,PONL,NA,Cp,Netherlands,NA,,,
55,S. S. Ferry/Orient Ferry,NA,Pa,Japan,NA,,,
56,MacAndrews,NA,Li,United Kingdom,NA,,,
57,Lufeng,NA,SV,China,NA,,,
58,Safmarine,NA,Gr,South Africa,NA,,,
59,IRISL,NA,Ir,Iran,NA,,,
60,NEW ONTO SHIPPING,NA,Sg,China,NA,,,
61,TSK,NA,Ja,Japan,NA,,,
62,Chongqing Marine,NA,SV,China,NA,,,
63,China Navigation,NA,HK,China,NA,,,
64,SEACON/T.S. Lines,NA,Sg,Taiwan,NA,,,
65,Greater Bali-Hai,NA,Pa,Australia,NA,,,
66,CCNI,NA,Li,Chile,NA,,,
67,CSAV,NA,Ge,Chile,NA,,,
68,China Shipping,NA,Cp,China,NA,,,
69,Delmas,NA,Li,France,NA,,,
70,Shanghai Puhai Shipping,NA,PRC,China,NA,,,
71,UASC,NA,UAE,United Arab Emirates,NA,,,
72,APL/PIL,NA,Li,Singapore,NA,,,
73,KLINE,NA,Pa,Japan,NA,,,
74,MOL,NA,Pa,Japan,NA,,,
75,NYK,NA,Ja,Japan,NA,,,
76,ANL,NA,Ba,Australia,NA,,,
77,APL,NA,Sg,United States of America,NA,,,
78,Hamburg Sud,NA,Li,Germany,NA,,,
79,Sealand Asia,NA,Ms,Denmark,NA,,,
80,Hapag-Lloyd,NA,Ge,Germany,NA,,,
81,CMA-CGM,NA,Li,France,NA,,,
82,Evergreen,NA,Pa,Taiwan,NA,,,
83,Suzhou Shimonoseki Ferry,NA,Pa,Japan,NA,,,
84,Sinotrans,NA,An,China,NA,,,
85,Hafez Darya Arya Shipping Lines,NA,Ge,Iran,NA,,,
86,CCL,NA,An,China,NA,,,
87,TAICANG CONTAINER LINES,NA,SV,China,NA,,,
88,Swire,NA,HK,Hong Kong,NA,,,
89,T.S. Lines,NA,Vt,Taiwan,NA,,,
90,COSCO,NA,Pa,China,NA,,,
91,Ocean Network Express,NA,Ja,Singapore,NA,,,
