,seller_name,buyer_name,end,seller_operator_age_normalized,buyer_operator_age_normalized,modified_buyer_name_in_IHS,modified_seller_name_in_IHS,merged_by_noncontainer_firm_or_rename_dummy
1,IMC SHIPPING CO PTE LTD (IMCSC,IMC Holdings Ltd,1993,0.235294118,NA,IMC SHIPPING CO PTE LTD (IMCSC,IMC SHIPPING CO PTE LTD (IMCSC,1
2,BUSAN SHIPPING CO LTD,EUROSEAS LTD,1994,0.294117647,NA,EUROSEAS LTD,BUSAN SHIPPING CO LTD,
3,CHINA MERCHANTS STEAM NAVIGATI,China Merchants Group,1994,0.294117647,NA,China Merchants Group,CHINA MERCHANTS STEAM NAVIGATI,
4,SVITZER AS,Maersk,1996,0.411764706,NA,A P MOLLER,SVITZER AS,
5,INTERSHIP NAVIGATION CO LTD,Hartmann AG,1996,0.411764706,NA,NA,INTERSHIP NAVIGATION CO LTD,1
6,APL LTD,NOL,1997,0.470588235,NA,NEPTUNE ORIENT LINES LTD (NOL),APL LTD,
7,ABBEY NATIONAL PLC,Santander Banco SA,1997,0.470588235,NA,NA,ABBEY NATIONAL PLC,1
8,PRIMA SHIPMANAGEMENT SDN BHD,HALIM MAZMIN GROUP,1999,0.588235294,NA,HALIM MAZMIN GROUP,PRIMA SHIPMANAGEMENT SDN BHD,
9,FARRELL LINES INC,Maersk,2000,0.647058824,NA,A P MOLLER,FARRELL LINES INC,
10,OOST ATLANTIC LIJN BV,ATLANTIC HORIZON GROUP,2001,0.705882353,NA,ATLANTIC HORIZON GROUP,OOST ATLANTIC LIJN BV,
11,EITZEN GROUP (CAMILLO EITZEN &,Eitzen Holding AS,2001,0.705882353,NA,NA,EITZEN GROUP (CAMILLO EITZEN &,1
12,COMPAGNIE GENERALE MARITIME E,CMA-CGM,2002,NA,NA,CMA CGM HOLDING,COMPAGNIE GENERALE MARITIME E,
13,KIRMAR DENIZCILIK VE TICARET A,Kiran Holding AS,2002,0.764705882,NA,NA,KIRMAR DENIZCILIK VE TICARET A,1
14,CYPRUS MARITIME CO LTD,CYPRUS SEA LINES SA,2002,0.764705882,NA,CYPRUS SEA LINES SA,CYPRUS MARITIME CO LTD,
15,MISC BERHAD,MISC,2003,0.823529412,NA,Malaysia Shipping Corp Sdn Bhd,MISC BERHAD,
16,DANSK SUPERMARKED INVEST A/S,Maersk,2003,0.823529412,NA,A P MOLLER,DANSK SUPERMARKED INVEST A/S,
17,KIRAN GROUP OF SHIPPING COMPAN,Kiran Holding AS,2003,0.823529412,NA,NA,KIRAN GROUP OF SHIPPING COMPAN,1
18,COMPANIA TRASATLANTICA ESPANOL,Naviera del Odiel,2004,0.882352941,NA,NA,COMPANIA TRASATLANTICA ESPANOL,1
19,THE PENINSULAR AND ORIENTAL ST,Maersk,2004,0.882352941,NA,A P MOLLER,ROYAL P&O NEDLLOYD NV (KONINKL,
20,DEHAI MARINE SHIPPING (SINGAPO,Wilton Resources Corp Ltd,2004,0.882352941,NA,NA,DEHAI MARINE SHIPPING (SINGAPO,1
21,EUROBULK LTD,EUROSEAS LTD,2005,0.941176471,NA,EUROSEAS LTD,EUROBULK LTD,
22,BARCLAY SHIPPING LTD,BARCLAY SHIPPING,2005,0.941176471,NA,BARCLAY SHIPPING LTD,BARCLAY SHIPPING LTD,
23,DELMAS,CMA-CGM,2006,1,NA,CMA CGM HOLDING,DELMAS,
24,ROYAL P&O NEDLLOYD NV (KONINKL,Maersk,2006,1,NA,A P MOLLER,ROYAL P&O NEDLLOYD NV (KONINKL,
25,ERNST RUSS GMBH & CO KG,Ernst Russ AG,2006,1,NA,NA,ERNST RUSS GMBH & CO KG,1
26,UNITED THAI SHIPPING CORP LTD,IMC Holdings Ltd,2006,1,NA,IMC SHIPPING CO PTE LTD (IMCSC,UNITED THAI SHIPPING CORP LTD,
27,CENTRAL MARINE KK (CENTRAL MA,V SHIPS GROUP,2006,NA,NA,V SHIPS GROUP,CENTRAL MARINE KK (CENTRAL MA,
28,HORIZON LINES INC,MATSON NAVIGATION CO INC,2006,1,NA,MATSON NAVIGATION CO INC,HORIZON LINES INC,
29,EICKE SCHIFFAHRTS KG,Eicke Reederei GmbH & Co KG,2006,1,NA,EICKE SCHIFFAHRTS KG,EICKE SCHIFFAHRTS KG,
30,A&L CF DECEMBER (1) LTD,Santander Banco SA,2006,1,NA,NA,A&L CF DECEMBER (1) LTD,1
31,CP SHIPS LTD,Hapag-Lloyd,2006,1,NA,HAPAG-LLOYD AG,CP SHIPS LTD,
32,ARIES ENERGY CORP,Lemissoler Shipping Group PCL,2006,1,NA,NA,ARIES ENERGY CORP,1
33,KONIG & CIE GMBH & CO KG,Ernst Russ AG,2006,1,NA,NA,KONIG & CIE GMBH & CO KG,1
